YEAR,MO,DY,HR,Irradiance,Temperature,Pressure,Relative Humidity,Wind Speed,Column E X 50,SOLAR(KWhr),WIND(KWhr),S+W(KWhr)
2020,1,3,11,767.78,29.15,100.86,71.31,2.05,38389,57.5835,0.41,57.9935
2020,1,3,12,704.09,29.4,100.73,70.25,2.27,35204.5,52.80675,0.454,53.26075
2020,1,3,13,610.62,29.4,100.63,69.88,2.56,30531,45.7965,0.512,46.3085
2020,1,3,14,465.95,29.19,100.57,70.12,2.88,23297.5,34.94625,0.576,35.52225
2020,1,3,15,299.73,28.73,100.57,71.81,3.07,14986.5,22.47975,0.614,23.09375
2020,1,3,16,128.52,27.87,100.62,76.5,2.96,6426,9.639,0.592,10.231
2020,1,3,17,9.36,26.4,100.68,85.69,2.56,468,0.702,0.512,1.214
2020,1,3,18,0,25.7,100.77,88.06,2.66,0,0,0.532,0.532
2020,1,3,19,0,25.33,100.83,89.56,2.71,0,0,0.542,0.542
2020,1,3,20,0,25.03,100.85,90.69,2.73,0,0,0.546,0.546
2020,1,3,21,0,24.76,100.84,91.62,2.73,0,0,0.546,0.546
2020,1,3,22,0,24.47,100.79,92.88,2.71,0,0,0.542,0.542
2020,1,3,23,0,24.19,100.72,94.19,2.75,0,0,0.55,0.55
2020,1,4,0,0,23.94,100.64,95.31,2.75,0,0,0.55,0.55
2020,1,4,1,0,23.75,100.56,96.06,2.66,0,0,0.532,0.532
2020,1,4,2,0,23.69,100.52,96,2.37,0,0,0.474,0.474
2020,1,4,3,0,23.85,100.53,94.69,1.97,0,0,0.394,0.394
2020,1,4,4,0,24.03,100.59,93.06,1.55,0,0,0.31,0.31
2020,1,4,5,0,24.31,100.68,91,1.2,0,0,0.24,0.24
2020,1,4,6,45.48,24.81,100.77,90.31,0.92,2274,3.411,0.184,3.595
2020,1,4,7,198.31,26.19,100.85,84.12,1.25,9915.5,14.87325,0.25,15.12325
2020,1,4,8,388.95,27.28,100.89,79.38,1.54,19447.5,29.17125,0.308,29.47925
2020,1,4,9,552.73,28.11,100.87,76.19,1.7,27636.5,41.45475,0.34,41.79475
2020,1,4,10,728.98,28.75,100.78,73.69,1.92,36449,54.6735,0.384,55.0575
2020,1,4,11,764.03,29.08,100.65,71.88,2.24,38201.5,57.30225,0.448,57.75025
2020,1,4,12,736.82,29.15,100.51,71.12,2.45,36841,55.2615,0.49,55.7515
2020,1,4,13,654.66,29,100.42,71.38,2.63,32733,49.0995,0.526,49.6255
2020,1,4,14,528.18,28.71,100.38,72.38,2.9,26409,39.6135,0.58,40.1935
2020,1,4,15,338.49,28.14,100.38,75.19,3.32,16924.5,25.38675,0.664,26.05075
2020,1,4,16,136.17,27.32,100.43,79.88,3.5,6808.5,10.21275,0.7,10.91275
2020,1,4,17,9.84,26.05,100.49,87.06,3.1,492,0.738,0.62,1.358
2020,1,4,18,0,25.58,100.58,89,3.18,0,0,0.636,0.636
2020,1,4,19,0,25.31,100.66,90.19,3.15,0,0,0.63,0.63
2020,1,4,20,0,25.08,100.71,91,3.1,0,0,0.62,0.62
2020,1,4,21,0,24.88,100.72,91.5,3.01,0,0,0.602,0.602
2020,1,4,22,0,24.69,100.69,92,2.91,0,0,0.582,0.582
2020,1,4,23,0,24.51,100.64,92.56,2.84,0,0,0.568,0.568
2020,1,5,0,0,24.4,100.56,92.69,2.77,0,0,0.554,0.554
